votacoes_senado,status_senado,link_senado,link_camara,-,-,-,votacoes_camara,status_camara,link_senado,link_camara
PL1291-2020,sancionado,-,-,,,,VET17-2020,mantido,-,-
PL1194-2020-v,sancionado,-,-,,,,VET25-2020,derrubado,-,-
PL1542-2020,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/141436,https://www.camara.leg.br/propostas-legislativas/2254725,,,,PEC15-2015-1t,promulgada,-,-
MPV917-2019,sancionado,-,-,,,,PEC15-2015-2t,promulgada,-,-
PL1543-2020,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262107,,,,PL735-2020,sancionado,-,-
PL2324-2020,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/141756,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262105,,,,PEC18-2020-1t,promulgada,-,-
MPV918-2020,sancionado,-,-,,,,PEC18-2020-2t,promulgada,-,-
PL890-2020,aprovado,-,-,,,,PL3267-2019,sancionado,-,-
PL1886-2020,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/141561,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2255228,,,,MPV927-2020,aprovado,-,-
PL1277-2020,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/141354,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2253050,,,,PLP9-2020,sancionado,-,-
MPV915-2019,sancionado,-,-,,,,PEC10-2020-2t-v,promulgada,-,-
MPV909-2019,sancionado,-,-,,,,PLP39-2020-v,sancionado,-,-
PL1409-2020,sancionado,-,-,,,,DTQ-PLP39-2020,aprovado,-,-
PL1079-2020,sancionado,-,-,,,,PEC10-2020-1t-v,promulgada,-,-
PLP39-2020-v,sancionado,-,-,,,,MPV905-2019,aprovado,-,-
PL864-2020,sancionada,-,-,,,,PLP39-2020,sancionado,-,-
PLP39-2020,sancionado,-,-,,,,PEC10-2020-1t,promulgada,-,-
MPV907-2019,sancionado,-,-,,,,PEC10-2020-2t,promulgada,-,-
MPV906-2019,sancionado,-,-,,,,PLP232-2019,sancionado,-,-
PL1282-2020-v,sancionado,-,-,,,,VET55-2019,derrubado,-,-
PL873-2020-v,sancionado,-,-,,,,MPV897-2019,sancionado,-,-
PEC10-2020-2t,promulgada,-,-,,,,CMC1-2020,aprovado,-,-
PEC10-2020-1t,promulgada,-,-,,,,VET49-2019,derrubado,-,-
PL1194-2020,sancionada,-,-,,,,PEC391-2017-1t,aguarda promulgação,,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2165194
MPV903-2019,sancionada,-,-,,,,DTQ-PLN22-2019,rejeitado,-,-
PL1282-2020,sancionado,-,-,,,,PL4162-2019,sancionado,-,-
E89-PL1179-2020,aprovado,-,-,,,,VET35-2019-MULTA,mantido,-,-
PL873-2020,sancionado,-,-,,,,PL10372-2018,sancionado,-,-
PL1006-2020,sancionado,-,-,,,,VET35-2019,mantido,-,-
PL1066-2020,sancionado,-,-,,,,PL461-2017,sancionado,-,-
,,-,-,,,,MPV890-2019,sancionado,-,-
,,-,-,,,,,,-,-
